magicnumber_a4a6b25c,data_id,prt_id,prt,lig_id,lig,ff,weight,enepara,nora,norb,ntemp,temp_high,temp_low,tras_scale,rot_scale,n_dump,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,tag34,tag35,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56
magicnumber_a4a6b25c,0,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1a07C1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a07C1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a07C1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,1,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1a0qB1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a0qB1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a0qB1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,2,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1a28B1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a28B1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a28B1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,3,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1a42A1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a42A1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a42A1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,4,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1a4gA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a4gA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a4gA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,5,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1a4kB1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a4kB1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1a4kB1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,6,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1aaqB1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1aaqB1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1aaqB1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,7,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1abeA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1abeA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1abeA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,8,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1abeA2,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1abeA2.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1abeA2-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magicnumber_a4a6b25c,9,1a07C,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C.pdb,1abfA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1abfA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands/1abfA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
