magicnumber_a4a6b25c,data_id,prt_id,prt,lig_id,lig,ff,weight,enepara,nora,norb,ntemp,temp_high,temp_low,tras_scale,rot_scale,n_dump,tag17,steps_total,tag19,sz_n_prt,sz_n_lig,sz_n_tmp,sz_n_rep,sz_prt_npoint,sz_lig_natom,sz_kde_npoint,sz_mcs_nrow,tag28,tag29,time_rl_cpu,time_est_cpu,time_rl_mic,time_est_mic,time_rl_gpu,time_est_gpu,tag36,tag37,tag38,tag39,tag40,tag41,tag42,tag43,tag44,tag45,tag46,tag47,tag48,tag49,tag50,tag51,tag52,tag53,tag54,tag55,tag56
magicnumber_a4a6b25c,239,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,240,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,240,240,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,239,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,240,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,240,240,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,0,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,1,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,1,1,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,1,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,2,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,2,2,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,2,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,3,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,3,3,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,3,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,4,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,4,4,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,4,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,5,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,5,5,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,5,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,6,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,6,6,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,6,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,7,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,7,7,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
magicnumber_a4a6b25c,7,1a07C-1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/proteins/1a07C-1.pdb,5cppA1,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1.sdf,/worka/work/yfang11/geauxdock_cs_v2/data/astex/ligands_5cppA1/5cppA1-0.8.ff,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08ff_opt,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/paras,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_a,/worka/work/yfang11/geauxdock_cs_v2/data/parameters/08_nor_b,8,0.044,0.036,0.02,0.08,1,-2,1000,-2,1,1,8,8,344,11,2116,66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
